Retailer;Retailer ID;Invoice Date;Region;State;City;Product;Price per Unit;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
Foot Locker;1185732;01/01/20;Northeast;New York;New York;Men's Street Footwear;$50.00 ;1,200;$600,000 ;$300,000 ;50%;In-store
Foot Locker;1185732;01/02/20;Northeast;New York;New York;Men's Athletic Footwear;$50.00 ;1,000;$500,000 ;$150,000 ;30%;In-store
Foot Locker;1185732;01/03/20;Northeast;New York;New York;Women's Street Footwear;$40.00 ;1,000;$400,000 ;$140,000 ;35%;In-store
Foot Locker;1185732;01/04/20;Northeast;New York;New York;Women's Athletic Footwear;$45.00 ;850;$382,500 ;$133,875 ;35%;In-store
Foot Locker;1185732;01/05/20;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$540,000 ;$162,000 ;30%;In-store
Foot Locker;1185732;01/06/20;Northeast;New York;New York;Women's Apparel;$50.00 ;1,000;$500,000 ;$125,000 ;25%;In-store
Foot Locker;1185732;01/07/20;Northeast;New York;New York;Men's Street Footwear;$50.00 ;1,250;$625,000 ;$312,500 ;50%;In-store
Foot Locker;1185732;01/08/20;Northeast;New York;New York;Men's Athletic Footwear;$50.00 ;900;$450,000 ;$135,000 ;30%;Outlet
Foot Locker;1185732;01/21/20;Northeast;New York;New York;Women's Street Footwear;$40.00 ;950;$380,000 ;$133,000 ;35%;Outlet
Foot Locker;1185732;01/22/20;Northeast;New York;New York;Women's Athletic Footwear;$45.00 ;825;$371,250 ;$129,938 ;35%;Outlet
Foot Locker;1185732;01/23/20;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$540,000 ;$162,000 ;30%;Outlet
Foot Locker;1185732;01/24/20;Northeast;New York;New York;Women's Apparel;$50.00 ;1,000;$500,000 ;$125,000 ;25%;Outlet
Foot Locker;1185732;01/25/20;Northeast;New York;New York;Men's Street Footwear;$50.00 ;1,220;$610,000 ;$305,000 ;50%;Outlet
Foot Locker;1185732;01/26/20;Northeast;New York;New York;Men's Athletic Footwear;$50.00 ;925;$462,500 ;$138,750 ;30%;Outlet
Foot Locker;1185732;01/27/20;Northeast;New York;New York;Women's Street Footwear;$40.00 ;950;$380,000 ;$133,000 ;35%;Outlet
Foot Locker;1185732;01/28/20;Northeast;New York;New York;Women's Athletic Footwear;$45.00 ;800;$360,000 ;$126,000 ;35%;Outlet
Foot Locker;1185732;01/29/20;Northeast;New York;New York;Men's Apparel;$60.00 ;850;$510,000 ;$153,000 ;30%;Outlet
Foot Locker;1185732;01/30/20;Northeast;New York;New York;Women's Apparel;$50.00 ;950;$475,000 ;$118,750 ;25%;Outlet
Foot Locker;1185732;01/31/20;Northeast;New York;New York;Men's Street Footwear;$50.00 ;1,200;$600,000 ;$300,000 ;50%;Outlet
Foot Locker;1185732;02/01/20;Northeast;New York;New York;Men's Athletic Footwear;$50.00 ;900;$450,000 ;$135,000 ;30%;Outlet
Foot Locker;1185732;02/02/20;Northeast;New York;New York;Women's Street Footwear;$40.00 ;900;$360,000 ;$126,000 ;35%;Outlet
Foot Locker;1185732;02/03/20;Northeast;New York;New York;Women's Athletic Footwear;$45.00 ;825;$371,250 ;$129,938 ;35%;Outlet
Foot Locker;1185732;02/04/20;Northeast;New York;New York;Men's Apparel;$60.00 ;825;$495,000 ;$148,500 ;30%;Outlet
Foot Locker;1185732;02/05/20;Northeast;New York;New York;Women's Apparel;$50.00 ;950;$475,000 ;$118,750 ;25%;Outlet
Foot Locker;1185732;02/06/20;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,220;$732,000 ;$366,000 ;50%;Outlet
Foot Locker;1185732;02/07/20;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;925;$508,750 ;$152,625 ;30%;Outlet
Foot Locker;1185732;02/08/20;Northeast;New York;New York;Women's Street Footwear;$50.00 ;900;$450,000 ;$157,500 ;35%;Outlet
Foot Locker;1185732;02/09/20;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;850;$425,000 ;$148,750 ;35%;Outlet
Foot Locker;1185732;02/10/20;Northeast;New York;New York;Men's Apparel;$60.00 ;875;$525,000 ;$157,500 ;30%;Outlet
Foot Locker;1185732;03/03/20;Northeast;New York;New York;Women's Apparel;$65.00 ;1,000;$650,000 ;$162,500 ;25%;Outlet
Foot Locker;1185732;03/04/20;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,250;$750,000 ;$375,000 ;50%;Outlet
Foot Locker;1185732;03/05/20;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1,000;$550,000 ;$165,000 ;30%;Outlet
Foot Locker;1185732;03/06/20;Northeast;New York;New York;Women's Street Footwear;$50.00 ;925;$462,500 ;$161,875 ;35%;Outlet
Foot Locker;1185732;03/07/20;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;900;$450,000 ;$157,500 ;35%;Outlet
Foot Locker;1185732;03/08/20;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$540,000 ;$162,000 ;30%;Outlet
Foot Locker;1185732;03/09/20;Northeast;New York;New York;Women's Apparel;$65.00 ;1,050;$682,500 ;$170,625 ;25%;Outlet
Foot Locker;1185732;03/10/20;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,275;$765,000 ;$382,500 ;50%;Outlet
Foot Locker;1185732;03/11/20;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1,025;$563,750 ;$169,125 ;30%;Outlet
Foot Locker;1185732;03/12/20;Northeast;New York;New York;Women's Street Footwear;$50.00 ;950;$475,000 ;$166,250 ;35%;Outlet
Foot Locker;1185732;03/13/20;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;900;$450,000 ;$157,500 ;35%;Outlet
Foot Locker;1185732;03/14/20;Northeast;New York;New York;Men's Apparel;$60.00 ;925;$555,000 ;$166,500 ;30%;Outlet
Foot Locker;1185732;03/15/20;Northeast;New York;New York;Women's Apparel;$65.00 ;1,100;$715,000 ;$178,750 ;25%;Outlet
Foot Locker;1185732;03/16/20;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,250;$750,000 ;$375,000 ;50%;Outlet
Foot Locker;1185732;03/17/20;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1,025;$563,750 ;$169,125 ;30%;Outlet
Foot Locker;1185732;03/18/20;Northeast;New York;New York;Women's Street Footwear;$50.00 ;950;$475,000 ;$166,250 ;35%;Outlet
Foot Locker;1185732;03/31/20;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;925;$462,500 ;$161,875 ;35%;Outlet
Walmart;1185732;04/17/20;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$540,000 ;$162,000 ;30%;Outlet
Walmart;1185732;04/18/20;Northeast;New York;New York;Women's Apparel;$65.00 ;1,075;$698,750 ;$174,688 ;25%;Outlet
Walmart;1185732;04/19/20;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,200;$720,000 ;$360,000 ;50%;Outlet
Walmart;1185732;04/20/20;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1,000;$550,000 ;$165,000 ;30%;Outlet
Walmart;1185732;04/21/20;Northeast;New York;New York;Women's Street Footwear;$50.00 ;925;$462,500 ;$161,875 ;35%;Outlet
Walmart;1185732;04/22/20;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;900;$450,000 ;$157,500 ;35%;Outlet
Walmart;1185732;04/23/20;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$540,000 ;$162,000 ;30%;Outlet
Walmart;1185732;04/24/20;Northeast;New York;New York;Women's Apparel;$65.00 ;1,000;$650,000 ;$162,500 ;25%;Outlet
Walmart;1185732;04/25/20;Northeast;New York;New York;Men's Apparel;$65.00 ;875;$568,750 ;$170,625 ;30%;Outlet
Walmart;1185732;04/26/20;Northeast;New York;New York;Women's Apparel;$70.00 ;1,000;$700,000 ;$175,000 ;25%;Outlet
Walmart;1185732;04/27/20;Northeast;New York;New York;Men's Street Footwear;$65.00 ;1,150;$747,500 ;$373,750 ;50%;Outlet
Walmart;1185732;04/28/20;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;975;$536,250 ;$160,875 ;30%;Outlet
Walmart;1185732;04/29/20;Northeast;New York;New York;Women's Street Footwear;$55.00 ;920;$506,000 ;$177,100 ;35%;Outlet
Walmart;1185732;04/30/20;Northeast;New York;New York;Women's Athletic Footwear;$55.00 ;900;$495,000 ;$173,250 ;35%;Outlet
Walmart;1185732;05/01/20;Northeast;New York;New York;Men's Apparel;$65.00 ;875;$568,750 ;$170,625 ;30%;Outlet
Walmart;1185732;05/02/20;Northeast;New York;New York;Women's Apparel;$70.00 ;975;$682,500 ;$170,625 ;25%;Outlet
Walmart;1185732;05/03/20;Northeast;New York;New York;Men's Street Footwear;$65.00 ;1,200;$780,000 ;$390,000 ;50%;Outlet
Walmart;1185732;05/04/20;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1,000;$550,000 ;$165,000 ;30%;Outlet
Walmart;1185732;05/05/20;Northeast;New York;New York;Women's Street Footwear;$55.00 ;950;$522,500 ;$182,875 ;35%;Outlet
Walmart;1185732;05/06/20;Northeast;New York;New York;Women's Athletic Footwear;$55.00 ;900;$495,000 ;$173,250 ;35%;Outlet
Walmart;1185732;05/07/20;Northeast;New York;New York;Men's Apparel;$65.00 ;900;$585,000 ;$175,500 ;30%;Outlet
Walmart;1185732;07/18/20;Northeast;New York;New York;Women's Apparel;$70.00 ;1,000;$700,000 ;$175,000 ;25%;Outlet
Sports Direct;1197831;07/19/20;Northeast;New York;New York;Men's Street Footwear;$25.00 ;900;$225,000 ;$78,750 ;35%;Outlet
Sports Direct;1197831;07/20/20;Northeast;New York;New York;Men's Athletic Footwear;$35.00 ;900;$315,000 ;$110,250 ;35%;Outlet
Sports Direct;1197831;07/21/20;Northeast;New York;New York;Women's Street Footwear;$35.00 ;700;$245,000 ;$85,750 ;35%;Outlet
Sports Direct;1197831;07/22/20;Northeast;New York;New York;Women's Athletic Footwear;$35.00 ;700;$245,000 ;$110,250 ;45%;Outlet
Sports Direct;1197831;07/23/20;South;Texas;Houston;Men's Apparel;$40.00 ;550;$220,000 ;$66,000 ;30%;Outlet
Sports Direct;1197831;07/24/20;South;Texas;Houston;Women's Apparel;$35.00 ;700;$245,000 ;$122,500 ;50%;Outlet
Sports Direct;1197831;07/25/20;South;Texas;Houston;Men's Street Footwear;$25.00 ;850;$212,500 ;$74,375 ;35%;Outlet
Sports Direct;1197831;07/26/20;South;Texas;Houston;Men's Athletic Footwear;$35.00 ;850;$297,500 ;$104,125 ;35%;Outlet
Sports Direct;1197831;07/27/20;South;Texas;Houston;Women's Street Footwear;$35.00 ;675;$236,250 ;$82,688 ;35%;Outlet
Sports Direct;1197831;07/28/20;South;Texas;Houston;Women's Athletic Footwear;$35.00 ;625;$218,750 ;$98,438 ;45%;Outlet
Sports Direct;1197831;07/29/20;South;Texas;Houston;Men's Apparel;$40.00 ;500;$200,000 ;$60,000 ;30%;Outlet
Sports Direct;1197831;07/30/20;South;Texas;Houston;Women's Apparel;$35.00 ;700;$245,000 ;$122,500 ;50%;Outlet
Sports Direct;1197831;07/31/20;South;Texas;Houston;Men's Street Footwear;$30.00 ;875;$262,500 ;$91,875 ;35%;Outlet
Sports Direct;1197831;08/01/20;South;Texas;Houston;Men's Athletic Footwear;$40.00 ;875;$350,000 ;$122,500 ;35%;Outlet
Sports Direct;1197831;08/02/20;South;Texas;Houston;Women's Street Footwear;$35.00 ;700;$245,000 ;$85,750 ;35%;Outlet
Sports Direct;1197831;08/03/20;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;600;$240,000 ;$108,000 ;45%;Outlet
Sports Direct;1197831;08/04/20;South;Texas;Houston;Men's Apparel;$45.00 ;500;$225,000 ;$67,500 ;30%;Outlet
Sports Direct;1197831;08/05/20;South;Texas;Houston;Women's Apparel;$40.00 ;650;$260,000 ;$130,000 ;50%;Outlet
Sports Direct;1197831;08/06/20;South;Texas;Houston;Men's Street Footwear;$30.00 ;900;$270,000 ;$94,500 ;35%;Outlet
Sports Direct;1197831;08/07/20;South;Texas;Houston;Men's Athletic Footwear;$40.00 ;900;$360,000 ;$126,000 ;35%;Outlet
Sports Direct;1197831;08/08/20;South;Texas;Houston;Women's Street Footwear;$35.00 ;725;$253,750 ;$88,813 ;35%;Outlet
Sports Direct;1197831;08/09/20;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;625;$250,000 ;$112,500 ;45%;Outlet
Walmart;1197831;08/10/20;South;Texas;Houston;Men's Apparel;$45.00 ;525;$236,250 ;$70,875 ;30%;Outlet
Walmart;1197831;08/11/20;South;Texas;Houston;Women's Apparel;$40.00 ;800;$320,000 ;$160,000 ;50%;Outlet
Walmart;1197831;08/12/20;South;Texas;Houston;Men's Street Footwear;$30.00 ;925;$277,500 ;$97,125 ;35%;Outlet
Walmart;1197831;08/13/20;South;Texas;Houston;Men's Athletic Footwear;$40.00 ;925;$370,000 ;$129,500 ;35%;Outlet
Walmart;1197831;08/14/20;South;Texas;Houston;Women's Street Footwear;$35.00 ;775;$271,250 ;$94,938 ;35%;Outlet
Walmart;1197831;08/15/20;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;700;$280,000 ;$126,000 ;45%;Outlet
Walmart;1197831;08/16/20;South;Texas;Houston;Men's Apparel;$45.00 ;600;$270,000 ;$81,000 ;30%;Outlet
Walmart;1197831;08/17/20;South;Texas;Houston;Women's Apparel;$40.00 ;950;$380,000 ;$190,000 ;50%;Outlet
Walmart;1197831;08/18/20;South;Texas;Houston;Men's Street Footwear;$40.00 ;950;$380,000 ;$133,000 ;35%;Outlet
Walmart;1197831;08/19/20;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;950;$427,500 ;$149,625 ;35%;Outlet
Walmart;1197831;08/20/20;South;Texas;Houston;Women's Street Footwear;$40.00 ;800;$320,000 ;$112,000 ;35%;Outlet
Walmart;1197831;08/21/20;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;750;$300,000 ;$135,000 ;45%;Outlet
Walmart;1197831;08/22/20;South;Texas;Houston;Men's Apparel;$45.00 ;650;$292,500 ;$87,750 ;30%;Outlet
Walmart;1197831;08/23/20;South;Texas;Houston;Women's Apparel;$50.00 ;1,000;$500,000 ;$250,000 ;50%;Outlet
Walmart;1197831;08/24/20;South;Texas;Houston;Men's Street Footwear;$40.00 ;950;$380,000 ;$133,000 ;35%;Outlet
Walmart;1197831;08/25/20;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;950;$427,500 ;$149,625 ;35%;Outlet
Walmart;1197831;08/26/20;South;Texas;Houston;Women's Street Footwear;$40.00 ;1,100;$440,000 ;$154,000 ;35%;Outlet
