product_id,product_name,category,price_per_kg,units_shipped_kg,units_sold_kg,units_on_hand_kg,supplier,farm_location,sale_date
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,14.10,19224,14905,4319,Organic Meats Co.,"O'Reillyboro, OR",2022-07-04
4a0f8862-c851-4073-bc17-3a3d93834902,Beef,Livestock,11.37,29504,4550,24954,Organic Meats Co.,"Lake Nora, AR",2023-10-21
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.59,1838,1722,116,Berry Fields,"East Friedaside, NM",2023-12-24
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.34,6750,1232,5518,Fresh Dairy Farms,"East Javon, FL",2023-12-25
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.78,48729,47020,1709,Golden Orchards,"Lake D'angelo, MN",2023-06-20
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.92,22600,11477,11123,Nature's Best Produce,"Danielville, FL",2023-01-22
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.86,14543,5208,9335,Fresh Harvest Co.,"Bridgettown, IA",2023-09-06
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,7.08,8442,7570,872,Ranchers Pride,"Shainafurt, PA",2022-11-14
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.99,23374,7546,15828,Midwest Grains Co.,"New Bruceton, AL",2023-12-12
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.09,41999,36611,5388,Happy Cows Dairy,"Effertzchester, CO",2022-01-02
4a0f8862-c851-4073-bc17-3a3d93834902,Beef,Livestock,11.69,5059,585,4474,Prime Meats LLC,"Port Furmanville, AZ",2023-10-23
9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,Butter,Dairy,5.99,38660,1689,36971,Fresh Dairy Farms,"Tracy, TX",2022-03-27
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,2.26,30469,19448,11021,Nature's Best Produce,"East Myron, IL",2023-01-10
9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,Butter,Dairy,4.58,24551,9745,14806,Dairyland Co-op,"Dachmouth, CO",2023-07-17
