Date,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
14/03/2006,,-22.48,-22.18,,,,
15/03/2006,,-22.38,-22.14,,,,
16/03/2006,,-22.25,-22.04,,,,
17/03/2006,,-22.38,-22.04,,,,
18/03/2006,,-22.6,-22.04,,,,
19/03/2006,,-22.35,-21.95,,,,
20/03/2006,,-22.5,-21.99,,,,
21/03/2006,,-22.31,-21.89,,,,
22/03/2006,,-22.31,-21.82,,,,
23/03/2006,,-22.4,-21.89,,,,
24/03/2006,,-22.32,-21.89,,,,
25/03/2006,,-22.25,-21.82,,,,
26/03/2006,,-22.15,-21.79,,,,
27/03/2006,,-22.47,-21.83,,,,
28/03/2006,,-22.27,-21.75,,,,
29/03/2006,,-22.52,-21.81,,,,
30/03/2006,,-22.5,-21.84,,,,
31/03/2006,,-22.7,-21.87,,,,
01/04/2006,,-22.77,-21.9,,,,
02/04/2006,,-22.49,-21.83,,,,
03/04/2006,,-22.77,-21.88,,,,
04/04/2006,,-22.65,-21.89,,,,
05/04/2006,,-22.49,-21.79,,,,
06/04/2006,,-22.43,-21.73,,,,
07/04/2006,,-22.43,-21.73,,,,
08/04/2006,,-22.52,-21.74,,,,
09/04/2006,,-22.31,-21.75,,,,
10/04/2006,,-21.96,-21.58,,,,
11/04/2006,,-21.87,-21.46,,,,
12/04/2006,,-21.88,-21.44,,,,
13/04/2006,,-21.92,-21.45,,,,
14/04/2006,,-22.07,-21.52,,,,
15/04/2006,,-22.12,-21.52,,,,
16/04/2006,,-21.5,-21.32,,,,
17/04/2006,,-21.79,-21.37,,,,
18/04/2006,,-22.12,-21.44,,,,
19/04/2006,,-22.4,-21.57,,,,
20/04/2006,,-22.46,-21.69,,,,
21/04/2006,,-22.45,-21.71,,,,
22/04/2006,,-22.43,-21.69,,,,
23/04/2006,,-22.09,-21.61,,,,
24/04/2006,,-22.35,-21.67,,,,
25/04/2006,,-21.89,-21.55,,,,
26/04/2006,,-22.13,-21.58,,,,
27/04/2006,,-22.22,-21.59,,,,
28/04/2006,,-22.18,-21.56,,,,
29/04/2006,,-22.22,-21.56,,,,
30/04/2006,,-22.06,-21.51,,,,
01/05/2006,,-22.07,-21.5,,,,
02/05/2006,,-22.26,-21.61,,,,
03/05/2006,,-22.35,-21.63,,,,
04/05/2006,,-22.39,-21.68,,,,
05/05/2006,,-22.4,-21.7,,,,
06/05/2006,,-22.4,-21.7,,,,
07/05/2006,,-22.26,-21.67,,,,
08/05/2006,,-22.26,-21.64,,,,
09/05/2006,,-22.06,-21.53,,,,
10/05/2006,,-22.09,-21.52,,,,
