Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
2017-01-02 00:00:00,14.5,91,12.4,6.37,9.58,68,72,9.9,0.2574
2017-01-02 01:00:00,14.5,92,12.7,6.46,9.23,68,72,9.5,0.2535
2017-01-02 02:00:00,14.7,92,12.7,6.18,9.27,67,74,9.4,0.2497
2017-01-02 03:00:00,14.7,92,12.8,5.91,9.08,62,69,9.1,0.2458
2017-01-02 04:00:00,14.8,92,12.9,5.88,8.72,58,65,8.7,0.2419
2017-01-02 05:00:00,14.7,92,12.9,6.12,8.83,52,59,8.8,0.2354
2017-01-02 06:00:00,14.4,92,12.5,6.37,8.98,48,52,9.1,0.2261
2017-01-02 07:00:00,14.2,92,12.3,6.33,9.24,51,56,9.3,0.2168
2017-01-02 08:00:00,14.1,92,12.2,5.97,9.1,50,57,9.2,0.2075
2017-01-02 09:00:00,14.2,92,12.2,5.74,8.77,49,55,8.8,0.1982
2017-01-02 10:00:00,14.5,91,12.3,5.87,8.17,46,50,8.6,0.1889
2017-01-02 11:00:00,14.8,91,12.6,5.46,7.28,49,53,8.6,0.1796
2017-01-02 12:00:00,15.4,91,13.1,5.03,6.72,41,46,8.2,0.17
2017-01-02 13:00:00,15.5,91,13.3,5.28,6.96,29,35,7.6,0.16
2017-01-02 14:00:00,16,90,13.6,4.46,5.73,20,25,8,0.15
2017-01-02 15:00:00,15.4,91,13.2,6.13,8.32,24,27,8.7,0.14
2017-01-02 16:00:00,14.8,91,12.6,6.24,8.32,16,18,9.6,0.13
2017-01-02 17:00:00,13.8,90,11.4,6.79,9,9,12,9.8,0.12
2017-01-02 18:00:00,12.9,88,10,6.41,8.4,357,359,9.9,0.1295
2017-01-02 19:00:00,11.9,87,8.9,6.58,8.75,351,354,9.6,0.1586
2017-01-02 20:00:00,11.2,86,7.9,6.55,8.63,348,350,9.5,0.1877
2017-01-02 21:00:00,10,84,6.2,7.2,9.86,335,337,10.4,0.2168
2017-01-02 22:00:00,8.7,83,4.6,7.94,10.61,329,331,11.2,0.2459
2017-01-02 23:00:00,6.2,83,2.1,8.94,12.58,328,331,12.8,0.275
2017-01-03 00:00:00,3.8,82,-0.5,9.3,13.21,328,331,13.3,0.3041
2017-01-03 01:00:00,2.1,80,-2.6,10.03,14.27,330,332,14.5,0.3332
2017-01-03 02:00:00,0.8,79,-4.2,9.81,14.05,330,332,14.6,0.3623
2017-01-03 03:00:00,0.2,79,-4.8,10.11,14.31,333,334,14.6,0.3914
2017-01-03 04:00:00,0.1,79,-4.9,9.26,13.42,334,335,14.6,0.4205
