Date,Category,RefNo,Date,Withdrawal,Deposit,Balance
,,,,,,
1/1/2023,Rent,3.00E+11,1/1/2023,3950,0,1837.23
3/1/2023,Misc,3.00E+11,3/1/2023,105,0,1732.23
3/1/2023,Misc,3.37E+11,3/1/2023,0,55,1787.23
3/1/2023,Food,3.00E+11,3/1/2023,56,0,1731.23
3/1/2023,Misc,3.37E+11,3/1/2023,1,0,1730.23
3/1/2023,Food,3.00E+11,3/1/2023,30,0,1700.23
4/1/2023,Misc,3.00E+11,4/1/2023,500,0,1200.23
4/1/2023,Misc,3.00E+11,4/1/2023,1,0,1199.23
4/1/2023,Misc,3.00E+11,4/1/2023,500,0,699.23
10/1/2023,Food,3.01E+11,10/1/2023,28,0,671.23
10/1/2023,Misc,3.01E+11,10/1/2023,149,0,522.23
10/1/2023,Food,3.01E+11,10/1/2023,10,0,512.23
10/1/2023,Misc,3.38E+11,10/1/2023,0,1289,1801.23
10/1/2023,Food,3.01E+11,10/1/2023,51,0,1750.23
10/1/2023,Misc,3.38E+11,10/1/2023,110,0,1640.23
10/1/2023,Food,3.38E+11,10/1/2023,40,0,1600.23
10/1/2023,Food,3.01E+11,10/1/2023,20,0,1580.23
10/1/2023,Food,3.38E+11,10/1/2023,131.5,0,1448.73
10/1/2023,Food,3.38E+11,11/1/2023,27,0,1421.73
11/1/2023,Food,3.01E+11,11/1/2023,50,0,1371.73
11/1/2023,Food,3.38E+11,11/1/2023,33,0,1338.73
11/1/2023,Misc,3.38E+11,11/1/2023,0,33,1371.73
11/1/2023,Food,3.01E+11,11/1/2023,33,0,1338.73
11/1/2023,Misc,3.01E+11,11/1/2023,0,33,1371.73
11/1/2023,Food,3.01E+11,11/1/2023,33,0,1338.73
11/1/2023,Food,3.38E+11,11/1/2023,60,0,1278.73
11/1/2023,Food,3.38E+11,11/1/2023,30,0,1248.73
11/1/2023,Misc,3.38E+11,11/1/2023,305,0,943.73
11/1/2023,Food,3.38E+11,11/1/2023,50,0,893.73
11/1/2023,Food,3.01E+11,11/1/2023,20,0,873.73
12/1/2023,Food,3.38E+11,12/1/2023,57,0,816.73
12/1/2023,Food,3.01E+11,12/1/2023,33,0,783.73
12/1/2023,Food,3.38E+11,12/1/2023,10,0,773.73
12/1/2023,Food,3.01E+11,12/1/2023,35,0,738.73
12/1/2023,Food,3.01E+11,12/1/2023,60,0,678.73
12/1/2023,Food,3.38E+11,12/1/2023,30,0,648.73
12/1/2023,Food,3.01E+11,12/1/2023,20,0,628.73
13/01/23,Food,3.38E+11,13/01/23,57,0,571.73
13/01/23,Food,3.01E+11,13/01/23,60,0,511.73
13/01/23,Misc,3.38E+11,13/01/23,480,0,31.73
13/01/23,Food,3.38E+11,13/01/23,12,0,19.73
13/01/23,Misc,3.38E+11,13/01/23,0,2000,2019.73
13/01/23,Misc,3.38E+11,13/01/23,0,120,2139.73
13/01/23,Food,3.01E+11,13/01/23,50,0,2089.73
13/01/23,Misc,3.01E+11,13/01/23,0,200,2289.73
13/01/23,Food,3.38E+11,13/01/23,15,0,2274.73
14/01/23,Food,3.01E+11,14/01/23,40,0,2234.73
14/01/23,Food,3.38E+11,14/01/23,30,0,2204.73
14/01/23,Food,3.01E+11,14/01/23,173.75,0,2030.98
14/01/23,Misc,3.38E+11,14/01/23,0,25,2055.98
14/01/23,Food,3.38E+11,14/01/23,50,0,2005.98
14/01/23,Food,3.38E+11,14/01/23,20,0,1985.98
14/01/23,Misc,3.38E+11,14/01/23,0,10,1995.98
14/01/23,Food,3.38E+11,14/01/23,30,0,1965.98
15/01/23,Misc,3.38E+11,15/01/23,110,0,1855.98
15/01/23,Food,3.02E+11,15/01/23,35,0,1820.98
15/01/23,Misc,3.38E+11,15/01/23,200,0,1620.98
15/01/23,Food,3.38E+11,15/01/23,30,0,1590.98
15/01/23,Food,3.38E+11,15/01/23,40,0,1550.98
15/01/23,Food,3.38E+11,15/01/23,155.24,0,1395.74
15/01/23,Food,3.38E+11,15/01/23,25,0,1370.74
16/01/23,Food,3.02E+11,16/01/23,12,0,1358.74
16/01/23,Food,3.02E+11,16/01/23,33,0,1325.74
16/01/23,Food,3.38E+11,16/01/23,29,0,1296.74
16/01/23,Food,3.38E+11,16/01/23,50,0,1246.74
16/01/23,Food,3.38E+11,16/01/23,60,0,1186.74
16/01/23,Food,3.38E+11,16/01/23,32,0,1154.74
16/01/23,Food,3.38E+11,16/01/23,20,0,1134.74
17/01/23,Food,3.02E+11,17/01/23,37,0,1097.74
17/01/23,Misc,3.02E+11,17/01/23,272,0,825.74
17/01/23,Food,3.38E+11,17/01/23,70,0,755.74
17/01/23,Food,3.38E+11,17/01/23,30,0,725.74
17/01/23,Food,3.02E+11,17/01/23,85,0,640.74
17/01/23,Food,3.38E+11,17/01/23,20,0,620.74
17/01/23,Food,3.38E+11,17/01/23,20,0,600.74
18/01/23,Food,3.38E+11,18/01/23,10,0,590.74
18/01/23,Food,3.02E+11,18/01/23,33,0,557.74
18/01/23,Food,3.38E+11,18/01/23,20,0,537.74
18/01/23,Food,3.38E+11,18/01/23,60,0,477.74
18/01/23,Food,3.38E+11,18/01/23,40,0,437.74
18/01/23,Food,3.38E+11,18/01/23,40,0,397.74
19/01/23,Misc,3.02E+11,19/01/23,0,120,517.74
19/01/23,Misc,3.39E+11,19/01/23,130,0,387.74
19/01/23,Food,3.39E+11,19/01/23,30,0,357.74
19/01/23,Food,3.39E+11,19/01/23,12,0,345.74
19/01/23,Food,3.02E+11,19/01/23,25,0,320.74
19/01/23,Food,3.02E+11,19/01/23,55,0,265.74
20/01/23,Food,3.39E+11,20/01/23,10,0,255.74
20/01/23,Food,3.39E+11,20/01/23,42,0,213.74
20/01/23,Food,3.39E+11,20/01/23,30,0,183.74
20/01/23,Food,3.02E+11,20/01/23,20,0,163.74
20/01/23,Food,3.39E+11,20/01/23,40,0,123.74
20/01/23,Misc,3.39E+11,21/01/23,0,500,623.74
21/01/23,Food,3.02E+11,21/01/23,42,0,581.74
21/01/23,Food,3.02E+11,21/01/23,80,0,501.74
21/01/23,Food,3.02E+11,21/01/23,30,0,471.74
21/01/23,Food,3.39E+11,21/01/23,25,0,446.74
21/01/23,Misc,3.39E+11,21/01/23,200,0,246.74
21/01/23,Food,3.02E+11,21/01/23,30,0,216.74
21/01/23,Misc,3.39E+11,21/01/23,200,0,16.74
22/01/23,Misc,3.02E+11,22/01/23,0,2000,2016.74
22/01/23,Food,3.39E+11,22/01/23,61,0,1955.74
22/01/23,Misc,3.39E+11,22/01/23,115,0,1840.74
22/01/23,Food,3.39E+11,22/01/23,30,0,1810.74
23/01/23,Food,3.02E+11,23/01/23,15,0,1795.74
