fecha;remesa
2000-01-01;19.8
2000-02-01;20.8
2000-03-01;23.4
2000-04-01;23.6
2000-05-01;24.8
2000-06-01;25.2
2000-07-01;26.3
2000-08-01;27.5
2000-09-01;29.4
2000-10-01;29.9
2000-11-01;29.5
2000-12-01;39.8
2001-01-01;25.1
2001-02-01;24.7
2001-03-01;27.3
2001-04-01;26.2
2001-05-01;27.6
2001-06-01;25.2
2001-07-01;27.4
2001-08-01;30.4
2001-09-01;29.5
2001-10-01;30.9
2001-11-01;27.3
2001-12-01;34.1
2002-01-01;30.3
2002-02-01;29
2002-03-01;32.1
2002-04-01;32
2002-05-01;33.5
2002-06-01;29.3
2002-07-01;29.1
2002-08-01;30
2002-09-01;32.8
2002-10-01;33.8
2002-11-01;29.4
2002-12-01;35.2
2003-01-01;33.5
2003-02-01;31.8
2003-03-01;35.6
2003-04-01;33
2003-05-01;36.2
2003-06-01;33.2
2003-07-01;36.4
2003-08-01;38.1
2003-09-01;39.6
2003-10-01;38.1
2003-11-01;38.2
2003-12-01;45.1
2004-01-01;38
2004-02-01;37.2
2004-03-01;42.3
2004-04-01;40
2004-05-01;43.4
2004-06-01;41.5
2004-07-01;43.2
2004-08-01;43
2004-09-01;48.9
2004-10-01;47.9
2004-11-01;46.1
2004-12-01;47.3
2005-01-01;51.4
2005-02-01;49.5
2005-03-01;52.7
2005-04-01;48.8
2005-05-01;52.3
2005-06-01;47.8
2005-07-01;49.8
2005-08-01;48.6
2005-09-01;52.1
2005-10-01;49.5
2005-11-01;50.8
2005-12-01;62.4
2006-01-01;57.8
2006-02-01;54.6
2006-03-01;61.2
2006-04-01;54.7
2006-05-01;60.2
2006-06-01;53.6
2006-07-01;57.1
2006-08-01;58.1
2006-09-01;63.4
2006-10-01;61.2
2006-11-01;52.9
2006-12-01;62.7
2007-01-01;51.4
2007-02-01;52.6
2007-03-01;61.1
2007-04-01;57.3
2007-05-01;63.9
2007-06-01;59.9
2007-07-01;61.8
2007-08-01;65.2
2007-09-01;62.7
2007-10-01;66.5
2007-11-01;65.7
2007-12-01;71.5
2008-01-01;60.8
2008-02-01;63.4
2008-03-01;71.5
2008-04-01;67.7
2008-05-01;73.6
2008-06-01;66.8
2008-07-01;66.9
2008-08-01;69.5
2008-09-01;70.8
2008-10-01;67.5
2008-11-01;66.1
2008-12-01;73.5
2009-01-01;62.7
2009-02-01;62.8
2009-03-01;70.4
2009-04-01;62.5
2009-05-01;66.2
2009-06-01;62.1
2009-07-01;61.3
2009-08-01;60.7
2009-09-01;62.2
2009-10-01;64.4
2009-11-01;61.9
2009-12-01;71.2
2010-01-01;60.7
2010-02-01;64.1
2010-03-01;77
2010-04-01;63.8
2010-05-01;70.2
2010-06-01;63.5
2010-07-01;66.5
2010-08-01;66.5
2010-09-01;67.9
2010-10-01;70.3
2010-11-01;70.6
2010-12-01;81.7
2011-01-01;67.4
2011-02-01;69.3
2011-03-01;77.5
2011-04-01;73.4
2011-05-01;77.8
2011-06-01;70
2011-07-01;74.5
2011-08-01;77.3
2011-09-01;74.8
2011-10-01;79.4
2011-11-01;75.7
2011-12-01;94.5
2012-01-01;78.1
2012-02-01;82.3
2012-03-01;89.7
2012-04-01;80.1
2012-05-01;85.2
2012-06-01;78.9
2012-07-01;80.9
2012-08-01;82.4
2012-09-01;82.9
2012-10-01;87.3
2012-11-01;82.8
2012-12-01;103.6
2013-01-01;83.4
2013-02-01;83.7
2013-03-01;90.2
2013-04-01;90.7
2013-05-01;92.7
2013-06-01;80.9
2013-07-01;86.6
2013-08-01;88.6
2013-09-01;90.5
2013-10-01;90.3
2013-11-01;89.1
2013-12-01;111
2014-01-01;85.6
2014-02-01;90
2014-03-01;101.6
2014-04-01;91.1
2014-05-01;98.5
2014-06-01;88.4
2014-07-01;92.6
2014-08-01;92.2
2014-09-01;94.7
2014-10-01;93.5
2014-11-01;91
2014-12-01;116.6
2015-01-01;88.9
2015-02-01;94.1
2015-03-01;106.2
2015-04-01;94.4
2015-05-01;104.9
2015-06-01;93.1
2015-07-01;97.6
2015-08-01;96.6
2015-09-01;98.7
2015-10-01;102.6
2015-11-01;95.7
2015-12-01;120.6
2016-01-01;91.2
2016-02-01;103.4
2016-03-01;107.7
2016-04-01;103.5
2016-05-01;107.4
2016-06-01;95.5
2016-07-01;98.7
2016-08-01;107.9
2016-09-01;106.3
2016-10-01;108.1
2016-11-01;104.3
2016-12-01;130.1
2017-01-01;102.1
2017-02-01;107.6
2017-03-01;113.6
2017-04-01;108.4
2017-05-01;121.2
2017-06-01;111.1
2017-07-01;122.4
2017-08-01;120.4
2017-09-01;112.8
2017-10-01;118.5
2017-11-01;116
2017-12-01;136.7
2018-01-01;112.9
2018-02-01;116.9
2018-03-01;123.6
2018-04-01;128.9
2018-05-01;127.1
2018-06-01;115.2
2018-07-01;124.4
2018-08-01;126.7
2018-09-01;121.7
2018-10-01;128.9
2018-11-01;125.4
2018-12-01;149.5
2019-01-01;124.2
2019-02-01;122.3
2019-03-01;137.3
2019-04-01;134.5
2019-05-01;144
2019-06-01;134.3
2019-07-01;146.2
2019-08-01;145.5
2019-09-01;139.1
2019-10-01;144.6
2019-11-01;144.2
2019-12-01;166.2
2020-01-01;139.2
2020-02-01;143.8
2020-03-01;141.5
2020-04-01;122.2
2020-05-01;159.2
2020-06-01;154.7
2020-07-01;162.4
2020-08-01;163
2020-09-01;156.7
2020-10-01;165.5
2020-11-01;152.3
2020-12-01;190.9
2021-01-01;156.1
2021-02-01;153.6
2021-03-01;190.7
2021-04-01;170.8
2021-05-01;187.1
2021-06-01;171.9
2021-07-01;176.6
2021-08-01;174.8
2021-09-01;175.7
2021-10-01;189.3
2021-11-01;186.6
2021-12-01;213.7
2022-01-01;194.7
2022-02-01;202.2
2022-03-01;235.7
2022-04-01;233.9
2022-05-01;266
2022-06-01;263.7
2022-07-01;274.4
2022-08-01;299.7
2022-09-01;288.1
2022-10-01;319.9
2022-11-01;309.5
2022-12-01;337.1
2023-01-01;317.0
2023-02-01;330.6
2023-03-01;372.7
2023-04-01;374.3
2023-05-01;426.2
2023-06-01;394.2
2023-07-01;408.9
2023-08-01;409.8
