Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform
2020-01-06,Whey Protein,Protein,143,31.98,4573.14,0.03,2,Canada,Walmart
2020-01-06,Vitamin C,Vitamin,139,42.51,5908.89,0.04,0,UK,Amazon
2020-01-06,Fish Oil,Omega,161,12.91,2078.51,0.25,0,Canada,Amazon
2020-01-06,Multivitamin,Vitamin,140,16.07,2249.8,0.08,0,Canada,Walmart
2020-01-06,Pre-Workout,Performance,157,35.47,5568.79,0.25,3,Canada,iHerb
2020-01-06,BCAA,Amino Acid,154,41.19,6343.26,0.13,1,UK,Walmart
2020-01-06,Creatine,Performance,134,32.49,4353.66,0.05,1,UK,Walmart
2020-01-06,Zinc,Mineral,147,46.68,6861.96,0.19,0,Canada,Amazon
2020-01-06,Collagen Peptides,Protein,147,10.96,1611.12,0.06,2,USA,Amazon
2020-01-06,Magnesium,Mineral,134,20.76,2781.84,0.0,0,Canada,Amazon
2020-01-06,Ashwagandha,Herbal,181,15.49,2803.69,0.14,1,USA,Amazon
2020-01-06,Melatonin,Sleep Aid,164,34.41,5643.24,0.04,1,USA,Walmart
2020-01-06,Biotin,Vitamin,159,28.79,4577.61,0.1,1,UK,iHerb
2020-01-06,Green Tea Extract,Fat Burner,143,31.88,4558.84,0.06,3,UK,Walmart
2020-01-06,Iron Supplement,Mineral,149,42.97,6402.53,0.22,2,Canada,iHerb
2020-01-06,Electrolyte Powder,Hydration,154,35.92,5531.68,0.04,2,USA,Amazon
2020-01-13,Whey Protein,Protein,150,12.08,1812.0,0.02,2,UK,Amazon
2020-01-13,Vitamin C,Vitamin,128,10.61,1358.08,0.24,2,USA,Amazon
2020-01-13,Fish Oil,Omega,145,27.49,3986.05,0.19,2,USA,Walmart
2020-01-13,Multivitamin,Vitamin,137,14.92,2044.04,0.17,2,USA,Amazon
2020-01-13,Pre-Workout,Performance,141,14.11,1989.51,0.24,1,Canada,iHerb
2020-01-13,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,Canada,Amazon
2020-01-13,Creatine,Performance,154,42.2,6498.8,0.13,0,UK,Walmart
2020-01-13,Zinc,Mineral,154,47.4,7299.6,0.2,2,USA,Amazon
2020-01-13,Collagen Peptides,Protein,134,56.4,7557.6,0.06,1,Canada,iHerb
2020-01-13,Magnesium,Mineral,148,40.65,6016.2,0.24,1,UK,Amazon
2020-01-13,Ashwagandha,Herbal,133,54.35,7228.55,0.16,1,UK,Walmart
2020-01-13,Melatonin,Sleep Aid,141,33.03,4657.23,0.21,2,USA,Amazon
2020-01-13,Biotin,Vitamin,161,18.87,3038.07,0.14,5,USA,iHerb
2020-01-13,Green Tea Extract,Fat Burner,174,18.24,3173.76,0.03,2,USA,Walmart
2020-01-13,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon
2020-01-13,Electrolyte Powder,Hydration,151,35.42,5348.42,0.07,2,USA,Amazon
2020-01-20,Whey Protein,Protein,157,41.81,6564.17,0.19,0,USA,Walmart
2020-01-20,Vitamin C,Vitamin,149,22.33,3327.17,0.18,5,UK,Walmart
2020-01-20,Fish Oil,Omega,131,50.0,6550.0,0.05,1,USA,Walmart
2020-01-20,Multivitamin,Vitamin,159,19.4,3084.6,0.09,2,USA,Walmart
2020-01-20,Pre-Workout,Performance,152,48.05,7303.6,0.01,2,USA,iHerb
2020-01-20,BCAA,Amino Acid,145,17.44,2528.8,0.08,3,UK,Amazon
2020-01-20,Creatine,Performance,148,54.31,8037.88,0.15,1,UK,iHerb
2020-01-20,Zinc,Mineral,147,10.16,1493.52,0.15,1,USA,iHerb
2020-01-20,Collagen Peptides,Protein,161,39.41,6345.01,0.12,2,UK,Walmart
2020-01-20,Magnesium,Mineral,126,38.07,4796.82,0.14,1,Canada,Amazon
2020-01-20,Ashwagandha,Herbal,156,23.49,3664.44,0.21,1,Canada,iHerb
2020-01-20,Melatonin,Sleep Aid,128,26.71,3418.88,0.2,2,Canada,iHerb
