date,hour,demand
2018-08-18,9,91
2018-08-18,10,21
2018-08-18,13,23
2018-08-18,14,104
2018-08-18,15,81
2018-08-18,16,37
2018-08-18,17,27
2018-08-18,18,66
2018-08-18,19,80
2018-08-18,20,52
2018-08-18,21,6
2018-08-18,22,23
2018-08-18,23,21
2018-08-19,2,38
2018-08-19,8,48
2018-08-19,9,93
2018-08-19,10,21
2018-08-19,11,89
2018-08-19,12,114
2018-08-19,13,68
2018-08-19,14,65
2018-08-19,15,121
2018-08-19,16,25
2018-08-19,17,64
2018-08-19,19,91
2018-08-19,20,92
2018-08-19,21,15
2018-08-19,22,96
2018-08-20,7,81
2018-08-20,8,15
2018-08-20,9,95
2018-08-20,10,84
2018-08-20,11,92
2018-08-20,12,112
2018-08-20,13,41
2018-08-20,14,14
2018-08-20,15,22
2018-08-20,16,94
2018-08-20,17,23
2018-08-20,18,39
2018-08-20,19,50
2018-08-20,23,73
2018-08-21,7,96
2018-08-21,8,79
2018-08-21,9,19
2018-08-21,10,94
2018-08-21,11,48
2018-08-21,12,104
2018-08-21,13,25
2018-08-21,14,42
2018-08-21,15,71
2018-08-21,16,81
2018-08-21,17,61
2018-08-21,18,100
2018-08-21,19,24
2018-08-21,20,8
2018-08-21,22,80
2018-08-22,0,41
2018-08-22,6,82
2018-08-22,8,13
2018-08-22,10,60
2018-08-22,11,86
2018-08-22,12,97
2018-08-22,13,56
2018-08-22,14,56
2018-08-22,15,13
2018-08-22,16,106
2018-08-22,17,31
2018-08-22,18,44
2018-08-22,19,59
2018-08-22,20,94
2018-08-22,21,27
2018-08-22,23,79
2018-08-23,8,5
2018-08-23,9,88
2018-08-23,10,95
2018-08-23,11,71
2018-08-23,12,51
2018-08-23,13,93
2018-08-23,14,57
2018-08-23,15,101
2018-08-23,16,83
2018-08-23,17,47
2018-08-23,18,2
2018-08-23,19,52
2018-08-23,21,78
2018-08-23,22,84
2018-08-24,6,77
2018-08-24,8,41
2018-08-24,9,59
2018-08-24,10,34
2018-08-24,11,68
2018-08-24,12,83
2018-08-24,13,19
2018-08-24,14,114
2018-08-24,15,81
2018-08-24,16,105
2018-08-24,17,47
2018-08-24,18,30
2018-08-24,19,88
2018-08-24,20,15
2018-08-24,21,102
2018-08-24,22,43
2018-08-25,1,66
2018-08-25,7,84
2018-08-25,9,25
2018-08-25,10,7
2018-08-25,11,58
2018-08-25,12,61
2018-08-25,13,126
2018-08-25,14,38
2018-08-25,15,80
2018-08-25,16,42
2018-08-25,17,67
2018-08-25,18,36
2018-08-25,19,31
2018-08-25,20,52
2018-08-25,21,100
2018-08-25,23,68
2018-08-26,0,74
2018-08-26,2,37
2018-08-26,8,80
2018-08-26,9,12
2018-08-26,10,84
2018-08-26,11,41
2018-08-26,12,43
2018-08-26,13,100
2018-08-26,14,91
2018-08-26,15,61
2018-08-26,16,121
2018-08-26,17,17
2018-08-26,18,40
2018-08-26,19,61
2018-08-26,20,82
2018-08-26,22,25
2018-08-26,23,39
2018-08-27,8,9
2018-08-27,9,95
2018-08-27,10,40
2018-08-27,11,48
2018-08-27,12,56
2018-08-27,13,63
2018-08-27,14,101
2018-08-27,15,27
2018-08-27,16,102
2018-08-27,17,23
2018-08-27,18,32
2018-08-27,19,86
2018-08-27,20,40
2018-08-27,21,7
2018-08-27,23,35
2018-08-28,8,19
2018-08-28,9,23
2018-08-28,10,83
2018-08-28,11,63
2018-08-28,12,36
2018-08-28,13,114
2018-08-28,14,69
2018-08-28,15,125
2018-08-28,16,111
2018-08-28,17,113
2018-08-28,18,13
2018-08-28,19,69
2018-08-28,20,12
2018-08-28,21,21
2018-08-28,22,87
2018-08-28,23,70
2018-08-29,0,34
2018-08-29,2,78
2018-08-29,3,42
2018-08-29,9,76
2018-08-29,10,69
2018-08-29,11,36
2018-08-29,12,43
2018-08-29,13,46
2018-08-29,14,128
2018-08-29,15,102
2018-08-29,16,49
2018-08-29,17,60
2018-08-29,18,48
2018-08-29,19,85
2018-08-29,20,60
2018-08-29,21,39
2018-08-29,22,15
2018-08-29,23,30
2018-08-30,2,95
2018-08-30,7,11
2018-08-30,8,13
