COMPANY NAME,CITY,STATE/PROVINCE,OWNER/MAKER,COUNTRY
Choklat,Calgary,Alberta,Brad Churchill,Canada
Yukon Chocolate Company,Calgary,Alberta,Sydney Oland,Canada
Kin+Pod,Calgary,Alberta,Georden Spicer,Canada
Goldie,Calgary,Alberta,Amy Horne (instagram),Canada
Moth Chocolate,Calgary,Alberta,Geordan Spicer (mothchocolate.com),Canada
Ten Degrees,Calgary,Alberta,"Mark, Michele Scott, Bianca",Canada
The Jones Chocolate Co.,Edmonton,Alberta,Curtis Jones,Canada
Au Chocolat,Morinville,Alberta,Tammy MacDonald,Canada
Jacek,Sherwood Park,Alberta,"Jacqueline Jacek, Curtis Jones",Canada
Take a Fancy,Burnaby,British Columbia,Becks D'Angelo,Canada
Organicfair,Cobble Hill,British Columbia,Kent Goodwin,Canada
Kasama,East Vancouver,British Columbia,"Dominik Voser, Stefan Klopp",Canada
Beanpod,Fernie,British Columbia,James and Mary Heavey,Canada
Coco-Labo aka Coconama,North Vancouver,British Columbia,"Takanori Chiwata, Kayoko Hamamoto",Canada
Wild Sweets,Richmond,British Columbia,Dominique and Cindy Duby,Canada
East Van Roasters,Vancouver,British Columbia,"Shelley Bolton, Merri Schwartz",Canada
Silver Star,Vernon,British Columbia,"Kristy Obando, Shane McDougall",Canada
Sirene Artisan,Victoria,British Columbia,Taylor Kennedy,Canada
Uncouth,Victoria,British Columbia,Stephanie Sketchley and Heidi Lalonde,Canada
Cocoaro,Wells,British Columbia,Margret Inoue,Canada
Aschenti Cocoa,Winnipeg,Manitoba,Christian Mekoh,Canada
Popp Chocolates,Winnipeg,Manitoba,Constance Popp,Canada
Chocolat Voyageur,Hampton,New Brunswick,Dominique,Canada
Chocolat BerNard,Moncton,New Brunswick,,Canada
McGuire Chocolate,St. Andrews,New Brunswick,Mark McGuire and Victoria Myers,Canada
JacoBean,Mount Pearl,Newfoundland,Darryl Pike,Canada
Cabin Snacks,Yellowknife,NW Territories,Sarah Van Stiphout,Canada
Petite Patrie Fine Chocolate,Canning,Nova Scotia,"Gabrielle Breault, Peter Austin-Smith",Canada
Chocolate Hackers,Halifax,Nova Scotia,Stan Mozoluk and Cecile Klawatsch,Canada
Hummingbird,Almonte,Ontario,Erica Gilmour,Canada
Bruama's Artisan,Cambridge,Ontario,,Canada
Tribe Chocolate,Colborne,Ontario,Eric Berg,Canada
Finnia aka Ultimately Chocolate,Gore Bay,Ontario,Lisabeth Flanagan,Canada
My Sweet Sweet World,Hagersville,Ontario,Shola Ekperigin,Canada
Pearl Street Chocolate Co.,Hamilton,Ontario,Blaise Misiek,Canada
Coco Chocolate Company,Kingston,Ontario,Brendon McAleer,Canada
Vaka,London,Ontario,Serge Savchuk,Canada
Chocosol Traders,Toronto,Ontario,Michael Sacco,Canada
Marigolds Finest,Toronto,Ontario,Trelawnie Mead,Canada
Soma,Toronto,Ontario,David and Cynthia Castelan,Canada
