Month,furniture_price_adjusted
1992-01-01,2073.4327239509525
1992-02-01,2114.485811657512
1992-03-01,2260.5708909631053
1992-04-01,2255.103235855575
1992-05-01,2331.4146181503033
1992-06-01,2384.6385671511275
1992-07-01,2417.1653764624593
1992-08-01,2445.498729314767
1992-09-01,2387.351704592034
1992-10-01,2489.350837949571
1992-11-01,2598.186296899216
1992-12-01,2928.7256842376473
1993-01-01,2284.6194385562203
1993-02-01,2183.1379483996393
1993-03-01,2449.1956230651813
1993-04-01,2457.7043343834544
1993-05-01,2552.8749497386407
1993-06-01,2575.0180550513155
1993-07-01,2639.280764831493
1993-08-01,2675.4205363033407
1993-09-01,2617.5221833144
1993-10-01,2715.938413731989
1993-11-01,2935.795847143008
1993-12-01,3205.014814901566
1994-01-01,2293.2124718438795
1994-02-01,2370.922974223242
1994-03-01,2773.7805520746715
1994-04-01,2704.471016274921
1994-05-01,2802.466027225066
1994-06-01,2864.542221493514
1994-07-01,2885.0293370185154
1994-08-01,3115.4000804181746
1994-09-01,3034.5298464637476
1994-10-01,3109.5131577406396
1994-11-01,3350.9386674786556
1994-12-01,3684.629978802393
1995-01-01,2727.755981589704
1995-02-01,2597.8544743345005
1995-03-01,3004.819625157616
1995-04-01,2857.008678136016
1995-05-01,3086.6486311343256
1995-06-01,3093.3280241722982
1995-07-01,3089.7560518580112
1995-08-01,3286.4776449186256
1995-09-01,3240.2965322590085
1995-10-01,3303.07306732875
1995-11-01,3651.7034208954524
1995-12-01,3840.4811817567856
1996-01-01,2885.947509574057
1996-02-01,2922.50459671847
1996-03-01,3288.3108669938047
1996-04-01,3239.9662712122454
1996-05-01,3425.3059599236417
1996-06-01,3351.639398659436
1996-07-01,3476.9578507266915
1996-08-01,3618.6964448140043
1996-09-01,3442.929251525408
1996-10-01,3689.2852541956036
1996-11-01,3977.9865006773084
1996-12-01,4169.301337830505
1997-01-01,3298.628987238494
1997-02-01,3187.5016103153876
1997-03-01,3569.6300373593167
1997-04-01,3545.949617623291
1997-05-01,3756.2353363704856
1997-06-01,3632.643142398726
1997-07-01,3776.271563586963
1997-08-01,3931.474346211953
1997-09-01,3834.9038300131556
1997-10-01,4017.904364833054
1997-11-01,4275.168741533645
1997-12-01,4756.618689027604
1998-01-01,3672.8276357447075
1998-02-01,3527.328125670965
1998-03-01,3901.750852003232
1998-04-01,3830.3059404046676
1998-05-01,3956.222844226873
1998-06-01,4015.170146899801
1998-07-01,4119.4842306205865
1998-08-01,4147.496301154352
1998-09-01,4042.0844703135917
1998-10-01,4285.008256526169
1998-11-01,4600.637880083229
1998-12-01,5181.359379452766
1999-01-01,3798.332298827691
1999-02-01,3850.47684854447
1999-03-01,4373.616592689754
1999-04-01,4204.942204316816
1999-05-01,4336.6507782215085
1999-06-01,4446.299788023938
1999-07-01,4529.958502660435
1999-08-01,4722.826659795987
1999-09-01,4679.237276556541
1999-10-01,4818.921693778522
1999-11-01,5260.011477156944
1999-12-01,5836.208087882231
2000-01-01,4374.180300670282
2000-02-01,4632.7590851066325
2000-03-01,5094.008845999196
2000-04-01,4770.648927822736
2000-05-01,5111.638774052256
2000-06-01,5038.857593466609
2000-07-01,5064.7147692271665
2000-08-01,5379.0670710998165
2000-09-01,5109.401899586587
2000-10-01,5207.888788691487
2000-11-01,5672.364645672058
2000-12-01,5865.412767751532
2001-01-01,4819.059107358263
2001-02-01,4664.693688734819
2001-03-01,5208.39003595395
2001-04-01,4792.634319822299
2001-05-01,5238.161546839682
2001-06-01,5205.312284071346
2001-07-01,5166.438294666245
2001-08-01,5523.293944043005
2001-09-01,4926.618025382474
2001-10-01,5274.234173039611
2001-11-01,5919.773892200608
2001-12-01,6502.749833112769
2002-01-01,4942.547460386241
2002-02-01,4921.825726789012
2002-03-01,5428.334523990772
2002-04-01,5173.020092832242
2002-05-01,5608.9014330831
2002-06-01,5268.599825890748
2002-07-01,5393.276494079895
2002-08-01,5787.936102685419
2002-09-01,5268.311725828678
2002-10-01,5562.270212873936
2002-11-01,6255.873064205715
2002-12-01,6728.640191129797
2003-01-01,5100.00741721027
2003-02-01,4798.350646663622
2003-03-01,5477.943949313127
2003-04-01,5290.97403586026
2003-05-01,5786.64589847791
2003-06-01,5559.886555720816
2003-07-01,5796.388208977948
2003-08-01,6041.8502426208515
2003-09-01,5796.153200526232
2003-10-01,6031.1093413907665
2003-11-01,6495.215899375783
2003-12-01,7314.125881769669
2004-01-01,5531.541491483871
2004-02-01,5533.787735057249
2004-03-01,6217.623291601767
2004-04-01,5864.702277083553
2004-05-01,5988.340145455397
2004-06-01,6252.462708999418
2004-07-01,6576.77398198789
2004-08-01,6571.369177977912
2004-09-01,6257.571995737056
2004-10-01,6496.953868855915
2004-11-01,7153.524541206507
2004-12-01,8110.153770480284
2005-01-01,5887.139728530104
2005-02-01,5969.766670180082
2005-03-01,6630.701394825911
2005-04-01,6394.973473713798
2005-05-01,6563.706419009919
2005-06-01,6807.7771401579475
2005-07-01,6832.413208880353
2005-08-01,7365.737953864952
2005-09-01,7152.301872650403
2005-10-01,7084.263412463255
2005-11-01,7892.861130304769
2005-12-01,8679.110403222972
2006-01-01,6653.583098129692
2006-02-01,6559.959947064542
2006-03-01,7341.154976752902
2006-04-01,6730.275100425123
2006-05-01,7279.884525747479
2006-06-01,7482.779580029746
2006-07-01,7343.639351813898
2006-08-01,7912.07873173512
2006-09-01,7533.472698810513
2006-10-01,7230.29813281491
2006-11-01,8019.536541471965
2006-12-01,8705.82094854408
2007-01-01,6955.257170295244
2007-02-01,6691.3857964327135
2007-03-01,7547.554389622152
2007-04-01,6901.0714277349
2007-05-01,7522.048375826141
2007-06-01,7459.356389145888
2007-07-01,7476.161499994145
2007-08-01,8008.701711033295
2007-09-01,7231.520996560757
2007-10-01,7397.068968344126
2007-11-01,8214.724817595186
2007-12-01,8598.684155667723
2008-01-01,6726.418307236465
2008-02-01,6697.194623693692
2008-03-01,6986.1460878119615
2008-04-01,6733.319541226025
2008-05-01,7276.290020729151
2008-06-01,6933.613450134876
2008-07-01,7294.608390816714
2008-08-01,7232.136101904662
2008-09-01,6555.948438677237
2008-10-01,6520.161054961527
2008-11-01,6734.4499162636
2008-12-01,7272.928103809712
2009-01-01,5601.663906683687
2009-02-01,5461.363942988979
2009-03-01,5735.381510065935
2009-04-01,5500.798013749166
2009-05-01,5822.243604608039
2009-06-01,5828.470946006612
2009-07-01,6047.896026327192
2009-08-01,6031.970541963843
2009-09-01,5873.868477246732
2009-10-01,5783.319791068899
2009-11-01,6228.246103036762
2009-12-01,7082.216063335169
2010-01-01,5349.4817243842745
2010-02-01,5472.655041165516
2010-03-01,6177.34550146197
2010-04-01,5726.79900921686
2010-05-01,5904.138006956562
2010-06-01,5872.8472718329485
2010-07-01,6164.301642326505
2010-08-01,6246.957811688743
2010-09-01,6055.314193027042
2010-10-01,5799.882975940912
2010-11-01,6517.256295845191
2010-12-01,7257.452453730271
2011-01-01,5368.00064022236
2011-02-01,5605.274776410149
2011-03-01,6568.941056601122
2011-04-01,6054.597600727667
2011-05-01,6250.681813390797
2011-06-01,6202.5724368658775
2011-07-01,6386.222734920616
2011-08-01,6796.500345485846
2011-09-01,6598.674466448835
2011-10-01,6158.1392444595385
2011-11-01,7004.306393244873
2011-12-01,7954.343120147095
2012-01-01,6075.405272465363
2012-02-01,6371.446266215387
2012-03-01,6970.566667057046
2012-04-01,6172.462318619931
2012-05-01,6892.8082143651845
2012-06-01,6609.470934295227
2012-07-01,6753.425790811248
2012-08-01,7252.377434504082
2012-09-01,6720.135668583431
2012-10-01,6555.882511389322
2012-11-01,7423.5557325275895
2012-12-01,8260.440957054352
2013-01-01,6559.754060922623
2013-02-01,6424.962324475623
2013-03-01,7155.997107287994
2013-04-01,6639.307833745183
2013-05-01,7124.00064802995
2013-06-01,6889.507895425143
2013-07-01,7274.312998465808
2013-08-01,7724.959291227002
2013-09-01,7173.618747584526
2013-10-01,7347.516655540851
2013-11-01,8044.925254039453
2013-12-01,8365.385655896096
2014-01-01,6575.66575708246
2014-02-01,6623.811926874114
2014-03-01,7475.4489246997
2014-04-01,7210.418260390926
2014-05-01,7786.32812957476
2014-06-01,7332.814843008889
2014-07-01,7815.454928736224
2014-08-01,8109.741014440137
2014-09-01,7778.535768520578
2014-10-01,7823.876206760591
2014-11-01,8250.871327016992
2014-12-01,9378.3268022845
2015-01-01,7265.909127462806
2015-02-01,6885.127353500337
2015-03-01,7941.885392389943
2015-04-01,7630.1401813703105
2015-05-01,8255.744883100862
2015-06-01,7989.348448827105
2015-07-01,8487.388556415692
2015-08-01,8510.720866954765
2015-09-01,8329.342932764941
2015-10-01,8456.511740663098
2015-11-01,8790.736950589668
2015-12-01,10087.545040033418
2016-01-01,7566.373476056074
2016-02-01,7760.504620141239
2016-03-01,8611.985618419665
2016-04-01,8041.962710951316
2016-05-01,8442.118269369656
2016-06-01,8574.283493584113
2016-07-01,8620.528323983744
2016-08-01,8995.133462939324
2016-09-01,8980.943281764203
2016-10-01,8538.239591506905
2016-11-01,9374.816424045814
2016-12-01,10244.985926819461
2017-01-01,7874.983205874431
2017-02-01,7871.229543138885
2017-03-01,9230.062726176115
2017-04-01,8237.952381510066
2017-05-01,9047.518982202599
2017-06-01,8999.307095927952
2017-07-01,8864.093035239555
2017-08-01,9485.837200042162
2017-09-01,9182.448030730675
2017-10-01,9141.979153735347
2017-11-01,10145.590406033705
