unique_id,ds,y
F-001,2021-01-01,4184.0
F-002,2021-01-01,883.0
F-003,2021-01-01,1560.0
F-004,2021-01-01,1418.0
F-005,2021-01-01,567.0
F-006,2021-01-01,1530.0
F-007,2021-01-01,1033.0
F-008,2021-01-01,785.0
F-009,2021-01-01,722.0
F-010,2021-01-01,786.0
F-012,2021-01-01,1007.0
F-013,2021-01-01,145.0
F-014,2021-01-01,433.0
F-015,2021-01-01,692.0
F-016,2021-01-01,475.0
F-017,2021-01-01,852.0
F-018,2021-01-01,101.0
F-019,2021-01-01,4.0
F-020,2021-01-01,480.0
F-021,2021-01-01,598.0
F-022,2021-01-01,720.0
F-023,2021-01-01,798.0
F-024,2021-01-01,659.0
F-025,2021-01-01,64.0
F-026,2021-01-01,443.0
F-027,2021-01-01,504.0
F-028,2021-01-01,456.0
F-029,2021-01-01,713.0
F-030,2021-01-01,738.0
F-031,2021-01-01,261.0
F-032,2021-01-01,722.0
F-033,2021-01-01,754.0
F-034,2021-01-01,433.0
F-035,2021-01-01,239.0
F-036,2021-01-01,0.0
F-037,2021-01-01,556.0
F-038,2021-01-01,543.0
F-039,2021-01-01,183.0
F-040,2021-01-01,706.0
F-041,2021-01-01,376.0
F-042,2021-01-01,302.0
F-043,2021-01-01,151.0
F-044,2021-01-01,390.0
F-045,2021-01-01,456.0
F-046,2021-01-01,572.0
F-047,2021-01-01,181.0
F-048,2021-01-01,800.0
F-049,2021-01-01,407.0
F-050,2021-01-01,130.0
F-051,2021-01-01,17.0
F-052,2021-01-01,204.0
F-053,2021-01-01,298.0
F-054,2021-01-01,395.0
F-055,2021-01-01,374.0
F-056,2021-01-01,914.0
F-057,2021-01-01,472.0
F-058,2021-01-01,80.0
F-059,2021-01-01,510.0
F-060,2021-01-01,483.0
F-061,2021-01-01,610.0
F-062,2021-01-01,280.0
F-064,2021-01-01,415.0
F-065,2021-01-01,125.0
F-066,2021-01-01,337.0
F-067,2021-01-01,125.0
F-068,2021-01-01,140.0
F-069,2021-01-01,515.0
F-070,2021-01-01,265.0
F-071,2021-01-01,113.0
F-072,2021-01-01,677.0
F-073,2021-01-01,310.0
F-074,2021-01-01,58.0
F-075,2021-01-01,372.0
F-076,2021-01-01,90.0
F-077,2021-01-01,1169.0
F-078,2021-01-01,96.0
F-079,2021-01-01,334.0
F-080,2021-01-01,335.0
F-081,2021-01-01,379.0
F-082,2021-01-01,155.0
F-083,2021-01-01,242.0
F-084,2021-01-01,303.0
F-085,2021-01-01,304.0
F-087,2021-01-01,440.0
F-088,2021-01-01,343.0
F-089,2021-01-01,5.0
F-091,2021-01-01,228.0
F-092,2021-01-01,164.0
F-093,2021-01-01,112.0
F-094,2021-01-01,120.0
F-095,2021-01-01,99.0
