County,Town,Collection Date,Species,Virus
Bristol,Freetown,7/31/14,Culiseta melanura,EEE
Bristol,Freetown,7/31/14,Culiseta melanura,EEE
Bristol,New Bedford,8/4/14,Culiseta melanura,EEE
Bristol,Freetown,8/8/14,Culiseta melanura,EEE
Bristol,Westport,8/11/14,Culiseta melanura,EEE
Bristol,Freetown,8/15/14,Culiseta melanura,EEE
Bristol,Acushnet,8/27/14,Culiseta melanura,EEE
Bristol,Freetown,8/27/14,Culiseta melanura,EEE
Bristol,Freetown,8/29/14,Culiseta melanura,EEE
Bristol,New Bedford,9/1/14,Culiseta melanura,EEE
Bristol,Rehoboth,9/1/14,Culiseta melanura,EEE
Bristol,New Bedford,9/3/14,Culex pipiens/restuans complex,EEE
Bristol,Freetown,9/3/14,Culiseta melanura,EEE
Bristol,Freetown,9/3/14,Culiseta melanura,EEE
Bristol,New Bedford,9/17/14,Culiseta melanura,EEE
Essex,Amesbury,9/8/14,Culiseta melanura,EEE
Essex,Topsfield,9/15/14,Culiseta melanura,EEE
Middlesex,Tewksbury,9/23/14,Culex species,EEE
Plymouth,Bridgewater,7/15/14,Coquillettidia perturbans,EEE
Plymouth,Bridgewater,7/15/14,Coquillettidia perturbans,EEE
Plymouth,Bridgewater,7/15/14,Coquillettidia perturbans,EEE
Plymouth,Bridgewater,7/15/14,Coquillettidia perturbans,EEE
Plymouth,Lakeville,8/11/14,Culiseta melanura,EEE
Plymouth,Rochester,8/12/14,Culiseta melanura,EEE
Plymouth,Marion,8/12/14,Culiseta melanura,EEE
Plymouth,Kingston,9/1/14,Coquillettidia perturbans,EEE
Plymouth,Kingston,9/1/14,Uranotaenia sapphirina,EEE
Plymouth,Kingston,9/1/14,Culiseta melanura,EEE
Plymouth,Rochester,9/3/14,Culiseta melanura,EEE
Plymouth,Rochester,9/3/14,Culiseta melanura,EEE
Plymouth,Rochester,9/3/14,Culiseta melanura,EEE
Plymouth,Lakeville,9/8/14,Culiseta melanura,EEE
Plymouth,Marion,9/16/14,Culiseta melanura,EEE
Barnstable,Falmouth,9/3/14,Culex pipiens/restuans complex,WNV
Berkshire,Pittsfield,8/28/14,Culex pipiens/restuans complex,WNV
Berkshire,Richmond,9/6/14,Culex pipiens/restuans complex,WNV
Bristol,Mansfield,8/5/14,Culex pipiens/restuans complex,WNV
Bristol,Easton,8/5/14,Culex pipiens/restuans complex,WNV
Bristol,Dighton,8/8/14,Culex pipiens/restuans complex,WNV
Bristol,Easton,8/15/14,Culex pipiens/restuans complex,WNV
Bristol,Fall River,8/15/14,Culex pipiens/restuans complex,WNV
Bristol,Easton,8/28/14,Culiseta melanura,WNV
Bristol,Freetown,8/29/14,Culiseta melanura,WNV
Bristol,Attleboro,9/5/14,Culex pipiens/restuans complex,WNV
Essex,Newburyport,7/14/14,Culex pipiens/restuans complex,WNV
Essex,Saugus,8/25/14,Culex pipiens/restuans complex,WNV
Essex,Peabody,9/8/14,Culex salinarius,WNV
Essex,Peabody,9/8/14,Coquillettidia perturbans,WNV
Essex,Peabody,9/8/14,Ochlerotatus triseriatus,WNV
Essex,Rowley,9/8/14,Culex pipiens/restuans complex,WNV
Essex,Lynn,9/15/14,Culex pipiens/restuans complex,WNV
Middlesex,Belmont,7/22/14,Culex pipiens/restuans complex,WNV
Middlesex,Everett,7/29/14,Culex pipiens/restuans complex,WNV
Middlesex,Medford,7/29/14,Culex pipiens/restuans complex,WNV
Middlesex,Medford,7/29/14,Culex pipiens/restuans complex,WNV
Middlesex,Newton,8/5/14,Culex pipiens/restuans complex,WNV
Middlesex,Burlington,8/7/14,Culex pipiens/restuans complex,WNV
Middlesex,Arlington,8/12/14,Culex pipiens/restuans complex,WNV
Middlesex,Medford,8/21/14,Culex pipiens/restuans complex,WNV
Middlesex,Cambridge,8/26/14,Culex pipiens/restuans complex,WNV
Middlesex,Everett,9/9/14,Culex pipiens/restuans complex,WNV
Middlesex,Medford,9/9/14,Culex pipiens/restuans complex,WNV
Middlesex,Newton,9/17/14,Culex pipiens/restuans complex,WNV
Norfolk,Canton,7/8/14,Culex pipiens/restuans complex,WNV
Norfolk,Stoughton,8/6/14,Culex pipiens/restuans complex,WNV
Plymouth,Middleborough,8/12/14,Culex pipiens/restuans complex,WNV
Plymouth,Bridgewater,9/3/14,Culex pipiens/restuans complex,WNV
Plymouth,Wareham,9/16/14,Culex pipiens/restuans complex,WNV
Plymouth,Middleborough,9/16/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,7/25/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,7/29/14,Culex species,WNV
Suffolk,Boston,8/6/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,8/12/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,8/12/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,8/12/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,8/12/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,8/15/14,Culex pipiens,WNV
Suffolk,Boston,8/19/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,8/26/14,Culex pipiens/restuans complex,WNV
Suffolk,Chelsea,8/26/14,Culex pipiens/restuans complex,WNV
Suffolk,Chelsea,8/26/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,8/27/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,9/3/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,9/9/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,9/11/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,9/16/14,Culex pipiens/restuans complex,WNV
Suffolk,Boston,9/16/14,Culex pipiens/restuans complex,WNV
Worcester,Clinton,7/3/14,Culex species,WNV
Worcester,Worcester,9/10/14,Culex pipiens/restuans complex,WNV
Worcester,Northbridge,9/25/15,Culex pipiens/restuans complex,EEE
Barnstable,Barnstable,8/18/15,Culex pipiens/restuans complex,WNV
Barnstable,Falmouth,8/18/15,Culex pipiens/restuans complex,WNV
Berkshire,Otis,8/19/15,Culex pipiens/restuans complex,WNV
Berkshire,Pittsfield,8/5/15,Culex pipiens/restuans complex,WNV
Berkshire,Pittsfield,8/5/15,Culex pipiens/restuans complex,WNV
Berkshire,Pittsfield,8/18/15,Culex pipiens/restuans complex,WNV
Berkshire,Pittsfield,9/3/15,Culex pipiens/restuans complex,WNV
Berkshire,Richmond,7/17/15,Culex pipiens/restuans complex,WNV
Berkshire,Sheffield,7/8/15,Culex pipiens/restuans complex,WNV
Berkshire,Sheffield,8/19/15,Culex pipiens/restuans complex,WNV
Bristol,Easton,7/27/15,Culex salinarius,WNV
Bristol,Easton,8/26/15,Culex pipiens/restuans complex,WNV
Bristol,Easton,9/2/15,Culex pipiens/restuans complex,WNV
Bristol,Easton,9/2/15,Culex pipiens/restuans complex,WNV
Bristol,Easton,9/22/15,Culiseta melanura,WNV
Bristol,Fall River,8/13/15,Culex pipiens/restuans complex,WNV
Bristol,Seekonk,7/31/15,Culex pipiens/restuans complex,WNV
Bristol,Seekonk,8/27/15,Culex pipiens/restuans complex,WNV
Bristol,Somerset,8/14/15,Culex pipiens/restuans complex,WNV
Bristol,Somerset,8/21/15,Culex pipiens/restuans complex,WNV
Bristol,Swansea,7/31/15,Culex pipiens/restuans complex,WNV
Bristol,Swansea,8/19/15,Culex pipiens/restuans complex,WNV
Bristol,Swansea,9/10/15,Culex pipiens/restuans complex,WNV
Bristol,Taunton,9/4/15,Culex pipiens/restuans complex,WNV
Essex,Methuen,9/10/15,Culex pipiens,WNV
Essex,Nahant,9/28/15,Culex pipiens,WNV
Franklin,Greenfield,8/21/15,Culex pipiens/restuans complex,WNV
Franklin,Greenfield,8/21/15,Culex pipiens/restuans complex,WNV
Hampden,Chicopee,9/11/15,Culex pipiens/restuans complex,WNV
Hampden,West Springfield,9/11/15,Culex pipiens/restuans complex,WNV
Hampden,West Springfield,9/11/15,Culex pipiens/restuans complex,WNV
Hampshire,Belchertown,9/3/15,Culex pipiens/restuans complex,WNV
Hampshire,Northampton,9/3/15,Culex pipiens/restuans complex,WNV
Hampshire,Northampton,9/3/15,Culex pipiens/restuans complex,WNV
Middlesex,Arlington,8/18/15,Culex pipiens/restuans complex,WNV
Middlesex,Arlington,8/18/15,Culex pipiens/restuans complex,WNV
Middlesex,Arlington,8/18/15,Culex pipiens/restuans complex,WNV
Middlesex,Arlington,9/9/15,Culex pipiens/restuans complex,WNV
Middlesex,Arlington,9/9/15,Culex pipiens/restuans complex,WNV
Middlesex,Bedford,8/6/15,Culex pipiens/restuans complex,WNV
Middlesex,Belmont,7/30/15,Culex pipiens/restuans complex,WNV
Middlesex,Belmont,7/30/15,Culex pipiens/restuans complex,WNV
Middlesex,Belmont,7/30/15,Culex pipiens/restuans complex,WNV
Middlesex,Belmont,7/30/15,Culex pipiens/restuans complex,WNV
Middlesex,Belmont,7/30/15,Culex pipiens/restuans complex,WNV
Middlesex,Belmont,8/25/15,Culex pipiens/restuans complex,WNV
Middlesex,Belmont,8/25/15,Culex pipiens/restuans complex,WNV
Middlesex,Burlington,8/6/15,Culex pipiens/restuans complex,WNV
Middlesex,Cambridge,7/22/15,Culex pipiens/restuans complex,WNV
Middlesex,Cambridge,7/22/15,Culex pipiens/restuans complex,WNV
Middlesex,Cambridge,7/22/15,Culex pipiens/restuans complex,WNV
Middlesex,Cambridge,7/22/15,Culex pipiens/restuans complex,WNV
Middlesex,Cambridge,8/25/15,Culex pipiens/restuans complex,WNV
Middlesex,Cambridge,8/25/15,Culex pipiens/restuans complex,WNV
Middlesex,Cambridge,9/15/15,Culex pipiens/restuans complex,WNV
Middlesex,Everett,8/13/15,Culex pipiens/restuans complex,WNV
Middlesex,Everett,8/13/15,Culex pipiens/restuans complex,WNV
Middlesex,Everett,8/13/15,Culex pipiens/restuans complex,WNV
