Month,Price,Change
1/1/1991,12.24,0
2/1/1991,12.9,5.39
3/1/1991,13.23,2.56
4/1/1991,13.23,0
5/1/1991,12.68,-3.84
6/1/1991,11.35,-9.51
7/1/1991,9.48,-15.52
8/1/1991,9.92,4.64
9/1/1991,10.14,2.22
10/1/1991,10.14,0
11/1/1991,9.92,-1.83
12/1/1991,10.91,9.98
1/1/1992,10.14,-6.94
2/1/1992,10.25,1.08
3/1/1992,10.25,0
4/1/1992,10.47,2.15
5/1/1992,10.8,3.15
6/1/1992,10.91,1.02
7/1/1992,11.46,5.04
8/1/1992,12.57,9.69
9/1/1992,12.57,0
10/1/1992,12.57,0
11/1/1992,11.02,-11.67
12/1/1992,11.24,2
1/1/1993,13.01,15.75
2/1/1993,13.12,0.85
3/1/1993,13.34,1.68
4/1/1993,13.34,0
5/1/1993,13.34,0
6/1/1993,13.34,0
7/1/1993,12.82,-2.1
8/1/1993,12.52,-1.66
9/1/1993,11.79,-4.17
10/1/1993,11.9,0.93
11/1/1993,11.9,0
12/1/1993,12.02,1.01
1/1/1994,12.02,0
2/1/1994,12.02,0
3/1/1994,13.45,11.9
4/1/1994,13.61,1.19
5/1/1994,13.82,1.54
6/1/1994,14,1.3
7/1/1994,14.15,1.07
8/1/1994,14.38,1.63
9/1/1994,14.44,0.42
10/1/1994,14.88,3.05
11/1/1994,14.88,0
12/1/1994,14.88,0
1/1/1995,15.54,4.44
2/1/1995,15.65,0.71
3/1/1995,15.65,0
4/1/1995,15.65,0
5/1/1995,16.09,2.81
6/1/1995,16.09,0
7/1/1995,16.09,0
8/1/1995,15.32,-3.21
9/1/1995,14.55,-4.97
10/1/1995,13.67,-5.95
11/1/1995,13.45,-0.39
12/1/1995,13.34,0.82
1/1/1996,13.34,0
2/1/1996,13.34,0
3/1/1996,13.34,0
4/1/1996,13.34,0
5/1/1996,13.49,1.12
6/1/1996,13.8,2.3
7/1/1996,13.45,-1.46
8/1/1996,13.38,0.52
9/1/1996,13.07,-1.68
10/1/1996,13.14,0.54
11/1/1996,13.96,6.24
12/1/1996,14.55,4.23
1/1/1997,15.04,3.37
2/1/1997,15.45,2.73
3/1/1997,15.76,2.01
4/1/1997,16.09,2.09
5/1/1997,16.29,1.24
6/1/1997,16.49,1.23
7/1/1997,16.89,2.43
8/1/1997,16.6,-0.28
9/1/1997,15.59,-5.92
10/1/1997,16.16,3.66
11/1/1997,16.49,2.04
12/1/1997,16.53,0.24
1/1/1998,16.53,0
2/1/1998,16.53,0
3/1/1998,16.53,0
4/1/1998,16.53,0
5/1/1998,16.53,0
6/1/1998,16.76,1.39
7/1/1998,16.27,-1.08
8/1/1998,15.87,-1.54
9/1/1998,15.08,-3.02
10/1/1998,14.15,-5.83
11/1/1998,14.33,1.27
12/1/1998,14.33,0
1/1/1999,14.18,-0.95
2/1/1999,14.11,0.49
3/1/1999,14.11,0
4/1/1999,14.24,0.92
5/1/1999,14.88,4.49
6/1/1999,14.99,0.74
7/1/1999,14.99,0
8/1/1999,15.05,0.4
9/1/1999,14.52,-2.48
10/1/1999,14.44,0.55
11/1/1999,14.88,3.05
12/1/1999,14.88,0
1/1/2000,14.88,0
