Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Taco Size,Taco Type,Toppings Count,Distance (km),Price ($),Tip ($),Weekend Order
770487,El Taco Loco,New York,01-08-2024 14:55,01-08-2024 15:36,41,Regular,Chicken Taco,5,3.01,9.25,2.22,FALSE
671858,El Taco Loco,San Antonio,23-11-2024 17:11,23-11-2024 17:25,14,Regular,Beef Taco,1,6.2,4.25,3.01,TRUE
688508,Taco Haven,Austin,21-11-2024 20:24,21-11-2024 21:02,38,Large,Pork Taco,2,20.33,7,0.02,FALSE
944962,Spicy Taco House,Dallas,21-09-2024 06:43,21-09-2024 07:28,45,Regular,Chicken Taco,2,3,5.5,1.9,TRUE
476417,Casa del Taco,San Antonio,24-07-2024 11:01,24-07-2024 11:16,15,Large,Pork Taco,0,24.34,4.5,1.14,FALSE
678856,Urban Tacos,San Antonio,07-10-2024 21:21,07-10-2024 22:44,83,Regular,Beef Taco,0,16.7,3,2.32,FALSE
183667,Taco Haven,Los Angeles,22-10-2024 06:03,22-10-2024 06:48,45,Large,Veggie Taco,1,9.57,5.75,0.63,FALSE
379946,El Taco Loco,San Antonio,08-05-2025 04:51,08-05-2025 05:22,31,Regular,Chicken Taco,3,9.8,6.75,2.97,FALSE
771088,The Taco Stand,Houston,08-09-2024 21:04,08-09-2024 21:21,17,Regular,Beef Taco,2,10.33,5.5,0.33,TRUE
694731,Casa del Taco,Houston,24-05-2025 02:15,24-05-2025 03:28,73,Large,Fish Taco,1,6.99,5.75,1.23,TRUE
688637,The Taco Stand,Phoenix,30-03-2025 01:28,30-03-2025 02:32,64,Large,Veggie Taco,1,24.93,5.75,0.69,TRUE
617488,El Taco Loco,New York,26-03-2024 04:00,26-03-2024 04:29,29,Regular,Fish Taco,4,2.06,8,1.14,FALSE
590785,The Taco Stand,Phoenix,05-03-2025 16:52,05-03-2025 17:03,11,Regular,Pork Taco,2,19.33,5.5,1.02,FALSE
407757,Taco Time Express,Chicago,18-12-2024 10:01,18-12-2024 10:11,10,Large,Pork Taco,1,12.94,5.75,0.32,FALSE
755674,Urban Tacos,Austin,18-04-2025 00:01,18-04-2025 00:36,35,Regular,Veggie Taco,1,13.71,4.25,2.34,FALSE
656116,Taco Fiesta,San Antonio,08-09-2024 18:42,08-09-2024 19:54,72,Regular,Beef Taco,2,22.03,5.5,4.16,TRUE
422451,Taco Haven,New York,06-07-2024 02:10,06-07-2024 03:32,82,Regular,Beef Taco,5,12.41,9.25,0.35,TRUE
897549,The Taco Stand,Chicago,09-04-2024 17:23,09-04-2024 18:33,70,Regular,Veggie Taco,4,21.87,8,1.27,FALSE
322086,The Taco Stand,Houston,30-08-2024 02:48,30-08-2024 03:49,61,Large,Fish Taco,4,11.56,9.5,0.74,FALSE
167136,Casa del Taco,New York,01-04-2025 22:52,02-04-2025 00:12,80,Regular,Pork Taco,1,0.68,4.25,2.12,FALSE
