date,value
1973-01-01,160.218
1973-01-31,143.539
1973-03-02,148.158
1973-04-02,139.589
1973-05-02,147.395
1973-06-02,161.244
1973-07-02,173.733
1973-08-02,177.365
1973-09-01,156.875
1973-10-01,154.197
1973-11-01,148.138
1973-12-01,153.605
1974-01-01,157.555
1974-01-31,142.748
1974-03-03,150.342
1974-04-02,142.312
1974-05-02,153.813
1974-06-02,156.44
1974-07-02,178.247
1974-08-02,174.119
1974-09-01,152.467
1974-10-02,152.196
1974-11-01,150.071
1974-12-02,160.009
1975-01-01,164.623
1975-01-31,147.349
1975-03-03,155.76
1975-04-02,146.495
1975-05-03,153.531
1975-06-02,162.717
1975-07-03,177.057
1975-08-02,179.931
1975-09-01,155.441
1975-10-02,155.188
1975-11-01,153.035
1975-12-02,169.628
1976-01-01,178.609
1976-02-01,156.966
1976-03-02,164.467
1976-04-01,153.467
1976-05-02,157.664
1976-06-01,173.674
1976-07-02,186.691
1976-08-01,186.639
1976-09-01,165.237
1976-10-01,164.009
1976-11-01,169.346
1976-12-01,184.144
1976-12-31,196.665
1977-01-31,162.949
1977-03-02,169.437
1977-04-02,157.117
1977-05-02,169.596
1977-06-02,181.031
1977-07-02,199.168
1977-08-01,196.363
1977-09-01,176.498
1977-10-01,166.645
1977-11-01,167.388
1977-12-01,184.589
1978-01-01,198.108
1978-01-31,173.746
1978-03-02,173.461
1978-04-02,160.013
1978-05-02,175.549
1978-06-02,188.585
1978-07-02,202.947
1978-08-02,206.659
1978-09-01,185.802
1978-10-02,176.013
1978-11-01,176.389
1978-12-01,192.105
1979-01-01,209.987
1979-01-31,186.587
1979-03-03,183.154
1979-04-02,170.26
1979-05-03,178.409
1979-06-02,186.976
1979-07-02,202.522
1979-08-02,205.101
1979-09-01,180.975
1979-10-02,179.953
1979-11-01,177.77
1979-12-02,188.97
1980-01-01,200.296
1980-01-31,188.961
1980-03-02,187.745
1980-04-01,169.017
1980-05-02,176.066
1980-06-01,189.748
1980-07-02,217.058
1980-08-01,215.629
1980-09-01,191.698
1980-10-01,178.761
1980-10-31,178.771
1980-12-01,195.849
1980-12-31,206.758
1981-01-31,179.86
1981-03-02,185.834
1981-04-02,172.841
1981-05-02,178.139
1981-06-01,203.021
1981-07-02,220.655
1981-08-01,210.639
1981-09-01,187.051
1981-10-01,181.558
1981-11-01,175.792
1981-12-01,195.826
1981-12-31,209.694
1982-01-31,180.546
1982-03-02,187.968
1982-04-02,172.877
1982-05-02,177.48
1982-06-02,186.447
1982-07-02,210.865
1982-08-02,205.892
1982-09-01,180.875
1982-10-01,173.172
1982-11-01,173.599
1982-12-01,184.958
1983-01-01,195.871
1983-01-31,172.725
1983-03-03,182.769
1983-04-02,170.669
1983-05-02,174.725
1983-06-02,191.367
1983-07-02,220.447
1983-08-02,230.193
1983-09-01,195.817
1983-10-02,183.137
1983-11-01,183.171
1983-12-01,212.555
1984-01-01,216.924
1984-01-31,189.81
1984-03-02,200.387
1984-04-01,181.381
1984-05-02,192.55
1984-06-01,209.967
1984-07-02,221.526
1984-08-01,229.532
1984-08-31,195.411
1984-10-01,191.142
1984-10-31,190.602
1984-12-01,200.232
1984-12-31,228.148
1985-01-31,198.488
1985-03-02,195.25
1985-04-01,185.173
1985-05-02,197.123
1985-06-01,205.682
1985-07-02,227.004
1985-08-01,226.286
1985-09-01,202.712
1985-10-01,194.995
1985-10-31,192.649
1985-12-01,219.49
1985-12-31,217.761
1986-01-31,192.582
1986-03-02,197.115
1986-04-02,186.37
1986-05-02,197.647
1986-06-02,215.334
1986-07-02,242.954
1986-08-01,225.402
1986-09-01,206.905
1986-10-01,197.96
1986-11-01,196.654
1986-12-01,213.787
1987-01-01,223.041
1987-01-31,194.281
1987-03-02,202.13
1987-04-02,189.792
1987-05-02,206.407
1987-06-02,225.908
1987-07-02,248.196
1987-08-02,247.881
1987-09-01,213.221
1987-10-02,203.215
1987-11-01,200.479
1987-12-01,220.736
1988-01-01,238.188
1988-01-31,217.183
1988-03-02,214.294
1988-04-01,196.297
1988-05-02,208.704
1988-06-01,233.066
1988-07-01,257.742
1988-08-01,267.929
1988-08-31,220.392
1988-10-01,210.814
1988-10-31,209.815
1988-12-01,232.988
1988-12-31,246.766
1989-01-30,233.783
1989-03-02,241.946
1989-04-01,222.869
1989-05-02,234.825
1989-06-01,250.919
1989-07-02,273.458
1989-08-01,275.42
1989-09-01,242.794
1989-10-01,235.669
1989-10-31,234.25
1989-12-01,274.448
1989-12-31,255.187
1990-01-31,229.499
1990-03-02,244.761
1990-04-02,229.77
1990-05-02,241.774
1990-06-01,268.992
1990-07-02,287.448
1990-08-01,290.655
1990-09-01,258.357
1990-10-01,244.372
1990-11-01,231.242
1990-12-01,255.77
1990-12-31,269.214
1991-01-31,228.29
1991-03-02,240.561
1991-04-02,227.799
1991-05-02,254.873
1991-06-02,269.099
1991-07-02,294.648
1991-08-02,292.159
1991-09-01,256.027
1991-10-01,245.378
1991-11-01,241.661
1991-12-01,254.089
1992-01-01,267.773
1992-01-31,239.514
1992-03-02,247.733
1992-04-01,233.406
1992-05-01,242.412
1992-06-01,261.077
1992-07-01,293.617
1992-08-01,281.927
1992-08-31,259.925
1992-10-01,244.994
1992-10-31,244.162
1992-11-30,267.343
1992-12-31,271.021
1993-01-30,248.015
1993-03-02,261.248
1993-04-01,234.695
1993-05-02,244.326
1993-06-01,275.36
1993-07-02,312.225
1993-08-01,311.45
1993-08-31,264.032
1993-10-01,250.553
1993-10-31,252.102
1993-12-01,272.165
1993-12-31,289.768
1994-01-31,249.172
1994-03-02,257.998
1994-04-01,240.637
1994-05-02,252.745
1994-06-01,294.162
1994-07-02,311.257
1994-08-01,307.605
1994-09-01,266.262
1994-10-01,256.528
1994-10-31,251.868
1994-12-01,269.52
1994-12-31,279.773
1995-01-31,252.307
1995-03-02,261.343
1995-04-02,244.736
1995-05-02,264.288
1995-06-02,286.258
1995-07-02,330.416
1995-08-01,345.78
1995-09-01,277.575
1995-10-01,263.978
1995-11-01,261.478
1995-12-01,285.554
1996-01-01,296.923
1996-01-31,270.685
1996-03-01,275.019
1996-04-01,251.613
1996-05-01,282.266
1996-06-01,302.717
1996-07-01,327.708
1996-08-01,329.286
1996-08-31,283.151
1996-09-30,271.446
1996-10-31,269.122
1996-11-30,284.25
1996-12-31,300.574
1997-01-30,258.131
1997-03-02,272.258
1997-04-01,258.284
1997-05-02,272.914
1997-06-01,299.092
1997-07-01,344.516
1997-08-01,332.899
1997-08-31,301.057
1997-10-01,284.971
1997-10-31,271.121
1997-12-01,296.356
1997-12-31,295.26
1998-01-30,260.59
1998-03-02,286.878
1998-04-01,261.23
1998-05-02,299.64
1998-06-01,328.903
1998-07-02,361.936
1998-08-01,357.366
1998-08-31,318.924
1998-10-01,284.446
1998-10-31,267.136
1998-12-01,297.986
1998-12-31,315.814
1999-01-31,274.82
1999-03-02,298.145
1999-04-02,280.719
1999-05-02,300.098
1999-06-01,328.924
1999-07-02,376.538
1999-08-01,364.031
1999-09-01,305.516
1999-10-01,283.935
1999-11-01,271.096
1999-12-01,295.174
1999-12-31,327.994
2000-01-31,294.169
2000-03-01,301.58
2000-04-01,285.578
2000-05-01,322.954
2000-06-01,339.054
2000-07-01,356.528
2000-08-01,368.669
2000-08-31,312.447
2000-09-30,289.452
2000-10-31,284.67
2000-11-30,319.011
2000-12-31,332.493
2001-01-30,282.94
2001-03-02,300.707
2001-04-01,278.079
2001-05-01,300.492
2001-06-01,327.694
2001-07-01,357.614
2001-08-01,370.533
2001-08-31,306.929
2001-10-01,294.734
2001-10-31,278.934
2001-11-30,305.496
2001-12-31,319.941
2002-01-30,281.826
2002-03-02,302.549
2002-04-01,289.848
2002-05-02,307.675
2002-06-01,341.023
2002-07-02,381.542
2002-08-01,374.586
2002-08-31,331.279
2002-10-01,307.059
2002-10-31,296.29
2002-12-01,324.834
2002-12-31,341.989
2003-01-31,299.249
2003-03-02,304.317
2003-04-01,285.756
2003-05-02,307.545
2003-06-01,328.694
2003-07-02,374.396
2003-08-01,381.816
2003-09-01,323.136
